"TnB","TcmB","TemB","TeffB","CD19.B","TnP","TcmP","TemP","TeffP","CD19.P","t"
0,64769446,65719736,5324586,111760019,0,1815888,1915014,168605,497020652305,0.244148083682068
0,64753446,65703936,5341116,112357019,0,1821588,1921034,170075,497001952305,0.245122798122862
0,64711547,65717737,5350836,112495019,0,1833698,1926754,171155,496979752305,0.245972631714141
0,64675847,65719437,5369446,112861019,0,1838698,1935264,172145,496949352305,0.24672384978971
0,64667249,65713639,5367876,113116019,0,1847408,1941074,173915,496948052305,0.247640536308853
0,64663550,65667841,5404626,113874019,0,1851328,1946674,175065,496926252305,0.248498334849697
0,64655750,65640942,5424156,114122019,0,1858868,1953674,176135,496885952305,0.249453676199723
0,64649851,65603042,5448776,114459019,0,1865188,1961274,177615,496873552305,0.250379572182959
0,64636651,65596443,5455436,114895019,0,1868808,1968284,178455,496841052305,0.251243881630792
0,64626253,65574443,5461856,115424019,0,1879018,1980404,179435,496800452305,0.252233793739592
0,64617553,65540344,5486166,116053019,0,1887918,1984914,180925,496789752305,0.253137001844343
0,64612653,65512144,5503506,116471019,0,1891838,1993344,182285,496739252305,0.254082244052858
0,64593053,65509344,5508826,117107019,0,1901938,1997274,183165,496727552305,0.254906503389734
